"","id","DISTRICT","TotalPop","PopDevPct","DemPct","RepPct","WhitePct","MinorityPct","BlackPct","HispanicPct","PacificPct","AsianPct","NativePct","TotalVAP","Margin","color","opacity","assigned_zip","overlap_pct"
"1",1,"1",72718,-0.95273259,0.51844537,0.46124609,0.4472827,0.5527173,0.35091167,0.14807931,0.0031333,0.04625597,0.02071163,56490,0.01844537,"#0000FF","0.5","32277",45.6388289249166
"2",2,"2",68083,-0.95574539,0.35745512,0.6229188,0.62935606,0.37064394,0.18454545,0.09299242,0.00352273,0.07501894,0.02310606,52800,-0.14254488,"#008000","0.5","32226",74.8056812209171
"3",3,"3",74659,-0.95147092,0.39194254,0.58591505,0.63231299,0.36768701,0.12585304,0.11820049,0.00371033,0.11137613,0.01520572,60372,-0.10805746,"#8B008B","0.5","32224",49.7223446630484
"4",4,"4",71923,-0.95324935,0.42467603,0.55210583,0.53154555,0.46845445,0.18044508,0.17151198,0.00312921,0.10599094,0.01964932,57203,-0.07532397,"#FF0000","0.5","32216",50.7352613509006
"5",5,"5",74180,-0.95178228,0.43950779,0.53886792,0.59887902,0.40112098,0.17280331,0.15079762,0.00236268,0.06144693,0.02026386,57985,-0.06049221,"#FFD700","0.5","32207",50.3568915505561
"6",6,"6",72247,-0.95303874,0.32804786,0.65074058,0.7359539,0.2640461,0.08315844,0.09119216,0.00208154,0.06198177,0.01761569,58130,-0.17195214,"#008080","0.5","32223",46.819836953947
"7",7,"7",68237,-0.95564528,0.61774997,0.36176154,0.52104069,0.47895931,0.3862552,0.05532227,0.002591,0.02433751,0.01642156,55963,0.11774997,"#D2691E","0.5","32205",20.0440221024908
"8",8,"8",67903,-0.95586239,0.66304744,0.32463747,0.34260937,0.65739063,0.55728345,0.06541947,0.00210465,0.02665887,0.01767514,51315,0.16304744,"#6A5ACD","0.5","32218",78.0394327198903
"9",9,"9",68590,-0.95541583,0.58027813,0.40359214,0.39018485,0.60981515,0.46912341,0.08925373,0.00238194,0.04122128,0.0228351,50799,0.08027813,"#00FFFF","0.5","32210",45.4810568217272
"10",10,"10",67700,-0.95599434,0.88171524,0.1128643,0.12348206,0.87651794,0.84191777,0.02599933,0.00179102,0.007046,0.01232065,50809,0.38171524,"#FF1493","0.5","32208",41.8844820613868
"11",11,"11",72822,-0.95266499,0.45448137,0.52398407,0.57601495,0.42398505,0.16604649,0.12009211,0.00348746,0.12146039,0.01685328,59929,-0.04551863,"#7FFF00","0.5","32256",83.8794398863418
"12",12,"12",67585,-0.95606909,0.37383278,0.61047263,0.55893588,0.44106412,0.29356851,0.0871565,0.001832,0.04252582,0.02204249,51310,-0.12616722,"#6495ED","0.5","32234",32.8494576079886
"13",13,"13",74348,-0.95167307,0.36492652,0.61406441,0.79134654,0.20865346,0.07471088,0.07359482,0.00375253,0.03736353,0.02046098,61825,-0.13507348,"#E9967A","0.5","32233",40.2785725379589
"14",14,"14",74572,-0.95152747,0.51004681,0.46960749,0.42715226,0.57284774,0.35685423,0.13837277,0.0037584,0.06987454,0.022621,56673,0.01004681,"#808000","0.5","32244",61.135489884606
