"","OBJECTID","DISTRICT","DistrictName","Representative","Website","LastName","FirstName","Email","BusinessPhone","GlobalID","assigned_zip","overlap_pct"
"1",1,1,"Council District 1","Joy Kimbrough","https://www.nashville.gov/departments/council/council-districts/district-1","Kimbrough","Joy","Joy.Kimbrough@nashville.gov","615-432-1301","175122a7-0429-46d1-83e4-40ace7cbcbb3","37218",37.4638969462548
"2",2,2,"Council District 2","Kyonzté Toombs","https://www.nashville.gov/departments/council/council-districts/district-2","Toombs","Kyonzté","Kyonzte.Toombs@nashville.gov","615-432-1302","03f26656-e9af-44b4-8ca2-4ef1ff72e63b","37207",63.461699125638
"3",3,3,"Council District 3","Jennifer Gamble","https://www.nashville.gov/departments/council/council-districts/district-3","Gamble","Jennifer","Jennifer.Gamble@nashville.gov","615-432-1303","b07920af-c9cd-4e05-aae1-a58e2c6a5df1","37207",40.2830164601548
"4",4,4,"Council District 4","Mike Cortese","https://www.nashville.gov/departments/council/council-districts/district-4","Cortese","Mike","Mike.Cortese@nashville.gov","615-432-1304","f316ee19-c016-4c45-8ac7-ba2cd1821c9b","37211",68.4590344941603
"5",5,5,"Council District 5","Sean Parker","https://www.nashville.gov/departments/council/council-districts/district-5","Parker","Sean","Sean.Parker@nashville.gov","615-432-1305","1dbc7f41-775f-45ca-8706-cd044cd1c75b","37207",55.9593746855804
"6",6,6,"Council District 6","Clay Capp","https://www.nashville.gov/departments/council/council-districts/district-6","Capp","Clay","Clay.Capp@nashville.gov","615-432-1306","661ffc60-db45-48cd-b2ac-015c76a6af32","37206",95.122371828672
"7",7,7,"Council District 7","Emily Benedict","https://www.nashville.gov/departments/council/council-districts/district-7","Benedict","Emily","Emily.Benedict@nashville.gov","615-432-1307","cf9b55b6-9851-45d8-8fb3-3c9bf457305f","37216",72.2008036006222
"8",8,8,"Council District 8","Deonté Harrell","https://www.nashville.gov/departments/council/council-districts/district-8","Harrell","Deonté","Deonte.Harrell@nashville.gov","615-432-1308","2024d614-c232-4b87-9390-7cab3ee55854","37013",98.6903002909069
"9",9,9,"Council District 9","Tonya Hancock","https://www.nashville.gov/departments/council/council-districts/district-9","Hancock","Tonya","Tonya.Hancock@nashville.gov","615-432-1309","08d3ad6f-8ee9-4ec9-b214-3c73ac5886a8","37115",99.7151489545245
"10",10,10,"Council District 10","Jennifer F. Webb","https://www.nashville.gov/departments/council/council-districts/district-10","Webb","Jennifer F.","Jennifer.Webb@nashville.gov","615-432-1310","6f807ce7-3b24-4a97-8690-136fff67a088","37072",83.1144177102707
"11",11,11,"Council District 11","Jeff Eslick","https://www.nashville.gov/departments/council/council-districts/district-11","Eslick","Jeff","Jeff.Eslick@nashville.gov","615-432-1311","eecb88ab-b1e5-4264-8784-87170657e397","37138",84.8274197920212
"12",12,12,"Council District 12","Erin Evans","https://www.nashville.gov/departments/council/council-districts/district-12","Evans","Erin","Erin.Evans@nashville.gov","615-432-1312","a817c38e-665d-4937-90e6-aedf12c1e97c","37076",84.6405499539922
"13",13,13,"Council District 13","Russ Bradford","https://www.nashville.gov/departments/council/council-districts/district-13","Bradford","Russ","Russ.Bradford@nashville.gov","615-432-1313","c1ffd9dd-3e5c-459f-9f0f-83ef01d66464","37217",63.236386610995
"14",14,14,"Council District 14","Jordan Huffman","https://www.nashville.gov/departments/council/council-districts/district-14","Huffman","Jordan","Jordan.Huffman@nashville.gov","615-432-1314","37784d8f-c954-4c65-accf-32b0e5ba3fb7","37076",74.9669352129819
"15",15,15,"Council District 15","Jeff Gregg","https://www.nashville.gov/departments/council/council-districts/district-15","Gregg","Jeff","Jeff.Gregg@nashville.gov","615-432-1315","b26a2dde-a80e-43d0-8810-99d468cfafc9","37214",73.8754428912085
"16",16,16,"Council District 16","Ginny Welsch","https://www.nashville.gov/departments/council/council-districts/district-16","Welsch","Ginny","Ginny.Welsch@nashville.gov","615-432-1316","f0eab1b2-5ae2-41fa-8ad6-8511a47aa9b3","37211",44.8027869322456
"17",17,17,"Council District 17","Terry Vo","https://www.nashville.gov/departments/council/council-districts/district-17","Vo","Terry","Terry.Vo@nashville.gov","615-432-1317","98264e2a-e36f-41d0-91a1-6fb0d0287b2b","37203",38.502467375374
"18",18,18,"Council District 18","Tom Cash","https://www.nashville.gov/departments/council/council-districts/district-18","Cash","Tom","Tom.Cash@nashville.gov","615-432-1318","3316335b-49da-4ab3-aacb-f98c8c681338","37212",78.3948399428119
"19",19,19,"Council District 19","Jacob Kupin","https://www.nashville.gov/departments/council/council-districts/district-19","Kupin","Jacob","Jacob.Kupin@nashville.gov","615-432-1319","fd1ba5a8-87a9-4974-ab6b-2b40f87a2b92","37203",33.9135476523637
"20",20,20,"Council District 20","Rollin Horton","https://www.nashville.gov/departments/council/council-districts/district-20","Horton","Rollin","Rollin.Horton@nashville.gov","615-432-1320","74e8f8b0-2208-4f52-b4b1-ca202cc3dc00","37209",94.6488101474209
"21",21,21,"Council District 21","Brandon Taylor","https://www.nashville.gov/departments/council/council-districts/district-21","Taylor","Brandon","Brandon.Taylor@nashville.gov","615-432-1321","c03726cf-6819-4c62-b714-2bfa3cb95bdf","37208",54.0472535335009
"22",22,22,"Council District 22","Sheri Weiner","https://www.nashville.gov/departments/council/council-districts/district-22","Weiner","Sheri","Sheri.Weiner@nashville.gov","615-432-1322","1aec0ee5-11f2-4a4d-a1fe-8e04c5d1fe81","37221",90.9266482501095
"23",23,23,"Council District 23","Thom Druffel","https://www.nashville.gov/departments/council/council-districts/district-23","Druffel","Thom","Thom.Druffel@nashville.gov","615-432-1323","0562865a-a5e8-4c6b-83ee-5e7b8104ff6f","37205",82.6114651371585
"24",24,24,"Council District 24","Brenda Gadd","https://www.nashville.gov/departments/council/council-districts/district-24","Gadd","Brenda","Brenda.Gadd@nashville.gov","615-432-1324","aebad0d2-d3a8-47fd-b08a-3d668bf91bcc","37209",43.2092890278351
"25",25,25,"Council District 25","Jeff Preptit","https://www.nashville.gov/departments/council/council-districts/district-25","Prepit","Jeff","Jeff.Preptit@nashville.gov","615-432-1325","f3aba8a3-87d2-46b5-8e97-931aadb1a8e4","37220",47.8996767544367
"26",26,26,"Council District 26","Courtney Johnston","https://www.nashville.gov/departments/council/council-districts/district-26","Johnston","Courtney","Courtney.Johnston@nashville.gov","615-432-1326","0071c3ac-1255-4c89-b6b9-4701c61ac893","37211",34.9770804179605
"27",27,27,"Council District 27","Robert Nash","https://www.nashville.gov/departments/council/council-districts/district-27","Nash","Robert","Bob.Nash@nashville.gov","615-432-1327","d758f00d-6fbe-4da8-8945-d0fdf7e6e530","37211",86.2802884889102
"28",28,28,"Council District 28","David Benton","https://www.nashville.gov/departments/council/council-districts/district-28","Benton","David","David.Benton@nashville.gov","615-432-1328","6deee3ce-8a0c-4c41-8919-85063ae33f59","37013",55.4922570220437
"29",29,29,"Council District 29","Tasha Ellis","https://www.nashville.gov/departments/council/council-districts/district-29","Ellis","Tasha","Tasha.Ellis@nashville.gov","615-432-1329","902d089a-50ef-4517-9ef8-d2e0dfec6415","37217",46.9514913330442
"30",30,30,"Council District 30","Sandra Sepulveda","https://www.nashville.gov/departments/council/council-districts/district-30","Sepulveda","Sandra","Sandra.Sepulveda@nashville.gov","615-432-1330","22ea686a-3699-402e-92d9-cf87d7a585d4","37211",96.6606511247917
"31",31,31,"Council District 31","John Rutherford","https://www.nashville.gov/departments/council/council-districts/district-31","Rutherford","John","John.Rutherford@nashville.gov","615-432-1331","d3db838b-80a1-4245-b132-133593623487","37013",72.4054117540065
"32",32,32,"Council District 32","Joy Styles","https://www.nashville.gov/departments/council/council-districts/district-32","Styles","Joy","Joy.Styles@nashville.gov","615-432-1332","78896667-7b15-41bb-8137-9f6db452a027","37013",88.6771478609498
"33",33,33,"Council District 33","Antoinette Lee","https://www.nashville.gov/departments/council/council-districts/district-33","Lee","Antoinette","Antoinette.Lee@nashville.gov","615-432-1333","d238eda9-52d0-4232-8b01-09c9d8673a6d","37013",77.1660120737739
"34",34,34,"Council District 34","Sandy Ewing","https://www.nashville.gov/departments/council/council-districts/district-34","Ewing","Sandy","Sandy.Ewing@nashville.gov","615-432-1334","86e1b6c0-d2dc-4a0f-9883-a4c5779f69ee","37215",54.9821211475121
"35",35,35,"Council District 35","Jason Spain","https://www.nashville.gov/departments/council/council-districts/district-35","Spain","Jason","Jason.Spain@nashville.gov","615-432-1335","a5b45b2d-923e-4e19-9410-7eb7f84b117b","37221",53.0913224457937
