DISTRICT,name,email,city
1,Ken Amaro,KAmaro@coj.net,jacksonville
2,Mike Gay,MGay@coj.net,jacksonville
3,Will Lahnen,WLahnen@coj.net,jacksonville
4,Kevin Carrico,KCarrico@coj.net,jacksonville
5,Joe Carlucci,JoeCarlucci@coj.net,jacksonville
6,Michael Boylan,MBoylan@coj.net,jacksonville
7,Jimmy Peluso,JPeluso@coj.net,jacksonville
8,Reggie Gaffney Jr.,RGaffneyJr@coj.net,jacksonville
9,Tyrona Clark-Murray,TClarkMurray@coj.net,jacksonville
10,Ju'Coby Pittman,JPittman@coj.net,jacksonville
11,Raul Arias,AriasR@coj.net,jacksonville
12,Randy White,RandyWhite@coj.net,jacksonville
13,Rory Diamond,RDiamond@coj.net,jacksonville
14,Rahman Johnson,Rahman@coj.net,jacksonville
At-Large Group 1,Terrance Freeman,TFreeman@coj.net,jacksonville
At-Large Group 2,Ron Salem,RSalem@coj.net,jacksonville
At-Large Group 3,Nick Howland,NHowland@coj.net,jacksonville
At-Large Group 4,Matt Carlucci,MCarlucci@coj.net,jacksonville
At-Large Group 5,Chris Miller,ChrisMiller@coj.net,jacksonville
