DISTRICT,name,email,city
At-Large 1,Zulfat Suara,Zulfat.Suara@nashville.gov,nashville
At-Large 2,Delishia Porterfield,Delishia.Porterfield@nashville.gov,nashville
At-Large 3,Quin Evans Segall,Quin.EvansSegall@nashville.gov,nashville
At-Large 4,Burkley Allen,burkley.allen@nashville.gov,nashville
At-Large 5,Olivia Hill,olivia.hill@nashville.gov,nashville
1,Joy Kimbrough,joy.kimbrough@nashville.gov,nashville
2,Kyonzte Toombs,kyonzte.toombs@nashville.gov,nashville
3,Jennifer Gamble,Jennifer.Gamble@nashville.gov,nashville
4,Mike Cortese,Mike.Cortese@nashville.gov,nashville
5,Sean Parker,Sean.Parker@nashville.gov,nashville
6,Clay Capp,clay.capp@nashville.gov,nashville
7,Emily Benedict,Emily.Benedict@nashville.gov,nashville
8,Deonte Harrell,deonte.harrell@nashville.gov,nashville
9,Tonya Hancock,Tonya.Hancock@nashville.gov,nashville
10,Jennifer Frensley Webb,Jennifer.Webb@nashville.gov,nashville
11,Jeff Eslick,Jeff.Eslick@nashville.gov,nashville
12,Erin Evans,Erin.Evans@nashville.gov,nashville
13,Russ Bradford,Russ.Bradford@nashville.gov,nashville
14,Jordan Huffman,Jordan.Huffman@nashville.gov,nashville
15,Jeff Gregg,jeff.gregg@nashville.gov,nashville
16,Ginny Welsch,Ginny.Welsch@nashville.gov,nashville
17,Terry Vo,Terry.Vo@nashville.gov,nashville
18,Tom Cash,Thomas.Cash@Nashville.gov,nashville
19,Jacob Kupin,Jacob.Kupin@nashville.gov,nashville
20,Rollin Horton,Rollin.Horton@nashville.gov,nashville
21,Brandon Taylor,Brandon.Taylor@nashville.gov,nashville
22,Sheri Weiner,Sheri.Weiner@nashville.gov,nashville
23,Thom Druffel,Thom.Druffel@nashville.gov,nashville
24,Brenda Gadd,Brenda.Gadd@nashville.gov,nashville
25,Jeff Preptit,Jeff.Preptit@nashville.gov,nashville
26,Courtney Johnston,Courtney.Johnston@nashville.gov,nashville
27,Robert Nash,Bob.Nash@nashville.gov,nashville
28,David Benton,David.Benton@nashville.gov,nashville
29,Tasha Ellis,Tasha.Ellis@nashville.gov,nashville
30,Sandra Sepulveda,Sandra.Sepulveda@nashville.gov,nashville
31,John Rutherford,John.Rutherford@nashville.gov,nashville
32,Joy Styles,Joy.Styles@nashville.gov,nashville
33,Antoinette Lee,antoinette.lee@nashville.gov,nashville
34,Sandy Ewing,Sandy.Ewing@nashville.gov,nashville
35,Jason Spain,Jason.Spain@nashville.gov,nashville
