,assigned_zip,DISTRICT,city,email,name
1,60647,1,chicago,info@the1stward.com,Daniel La Spata
2,60610,2,chicago,office@aldermanhopkins.com,Brian Hopkins
3,60616,3,chicago,ward03@cityofchicago.org,Pat Dowell
4,60653,4,chicago,ward04@cityofchicago.org,Lamont Robinson
5,60615,5,chicago,ward05@cityofchicago.org,Desmon Yancy
6,60621,6,chicago,ward06@cityofchicago.org,William Hall
7,60649,7,chicago,ward07@cityofchicago.org,Gregory Mitchell
8,60619,8,chicago,ward08@cityofchicago.org,Michelle Harris
9,60628,9,chicago,ward09@cityofchicago.org,Anthony Beale
10,60617,10,chicago,ward10@cityofchicago.org,Peter Chico
11,60609,11,chicago,ward11@cityofchicago.org,Nicole Lee
13,60638,13,chicago,ward13@cityofchicago.org,Marty Quinn
14,60632,14,chicago,ward14@cityofchicago.org,Jeylu B. Gutierrez
16,60636,16,chicago,info@16thward.org,Stephanie Coleman
17,60620,17,chicago,ward16@cityofchicago.org,David Moore
18,60652,18,chicago,ward17@cityofchicago.org,Derrick Curtis
19,60655,19,chicago,ward18@cityofchicago.org,Matt O'Shea
20,60637,20,chicago,ward19@cityofchicago.org,Jeanette Taylor
21,60643,21,chicago,ward21@cityofchicago.org,Ronnie L. Mosley
23,60629,23,chicago,ward23@cityofchicago.org,Silvana Tabares
24,60623,24,chicago,ward24@cityofchicago.org,Monique L. Scott
25,60608,25,chicago,ward25@cityofchicago.org,Byron Sigcho-Lopez
26,60622,26,chicago,ward26@cityofchicago.org,Jesse Fuentes
27,60612,27,chicago,walter@aldermanburnett.com,Walter Burnett
28,60624,28,chicago,ward28@cityofchicago.org,Jason Ervin
29,60644,29,chicago,ward29@cityofchicago.org,Chris Taliaferro
30,60641,30,chicago,ward30@cityofchicago.org,Ruth Cruz
31,60639,31,chicago,Ward31@cityofchicago.org,Felix Cardona Jr.
32,60642,32,chicago,info@ward32.org,Scott Waguespack
34,60607,34,chicago,ward34@cityofchicago.org,William Conway
35,60618,35,chicago,ward35@cityofchicago.org,Anthony Quezada
36,60707,36,chicago,ward36@cityofchicago.org,Gilbert Villegas
37,60651,37,chicago,ward37@cityofchicago.org,Emma Mitts
38,60634,38,chicago,info@aldermansposato.com,Nicholas Sposato
39,60646,39,chicago,ward39@cityofchicago.org,Samantha Nugent
40,60625,40,chicago,info@40thward.org,Andre Vasquez
41,60666,41,chicago,ward41@cityofchicago.org,Anthony Napolitano
42,60611,42,chicago,ward42@cityofchicago.org,Brendan Reilly
43,60614,43,chicago,yourvoice@ward43.org,Timmy Knudsen
44,60657,44,chicago,ward44@cityofchicago.org,Bennett R. Lawson
45,60630,45,chicago,ward45@cityofchicago.org,James M. Gardiner
46,60613,46,chicago,info@46thward.com,Angela Clay
47,60640,47,chicago,info@aldermanmartin.com,Matt Martin
48,60660,48,chicago,info@the48thward.org,Leni Manaa-Hoppenworth
49,60626,49,chicago,office@49thward.org,Maria Hadden
50,60645,50,chicago,ward50@cityofchicago.org,Debra Silverstein
51,32277,1,jacksonville,KAmaro@coj.net,Ken Amaro
52,32226,2,jacksonville,MGay@coj.net,Mike Gay
53,32224,3,jacksonville,WLahnen@coj.net,Will Lahnen
54,32216,4,jacksonville,KCarrico@coj.net,Kevin Carrico
55,32207,5,jacksonville,JoeCarlucci@coj.net,Joe Carlucci
56,32223,6,jacksonville,MBoylan@coj.net,Michael Boylan
57,32205,7,jacksonville,JPeluso@coj.net,Jimmy Peluso
58,32218,8,jacksonville,RGaffneyJr@coj.net,Reggie Gaffney Jr.
59,32210,9,jacksonville,TClarkMurray@coj.net,Tyrona Clark-Murray
60,32208,10,jacksonville,JPittman@coj.net,Ju'Coby Pittman
61,32256,11,jacksonville,AriasR@coj.net,Raul Arias
62,32234,12,jacksonville,RandyWhite@coj.net,Randy White
63,32233,13,jacksonville,RDiamond@coj.net,Rory Diamond
64,32244,14,jacksonville,Rahman@coj.net,Rahman Johnson
65,37218,1,nashville,joy.kimbrough@nashville.gov,Joy Kimbrough
66,37228,2,nashville,kyonzte.toombs@nashville.gov,Kyonzte Toombs
67,37207,3,nashville,Jennifer.Gamble@nashville.gov,Jennifer Gamble
68,37211,4,nashville,Mike.Cortese@nashville.gov,Mike Cortese
70,37206,6,nashville,clay.capp@nashville.gov,Clay Capp
71,37216,7,nashville,Emily.Benedict@nashville.gov,Emily Benedict
73,37115,9,nashville,Tonya.Hancock@nashville.gov,Tonya Hancock
74,37072,10,nashville,Jennifer.Webb@nashville.gov,Jennifer Frensley Webb
75,37138,11,nashville,Jeff.Eslick@nashville.gov,Jeff Eslick
76,37076,12,nashville,Erin.Evans@nashville.gov,Erin Evans
77,37217,13,nashville,Russ.Bradford@nashville.gov,Russ Bradford
79,37214,15,nashville,jeff.gregg@nashville.gov,Jeff Gregg
80,37210,16,nashville,Ginny.Welsch@nashville.gov,Ginny Welsch
81,37203,17,nashville,Terry.Vo@nashville.gov,Terry Vo
82,37212,18,nashville,Thomas.Cash@Nashville.gov,Tom Cash
83,37213,19,nashville,Jacob.Kupin@nashville.gov,Jacob Kupin
84,37209,20,nashville,Rollin.Horton@nashville.gov,Rollin Horton
85,37208,21,nashville,Brandon.Taylor@nashville.gov,Brandon Taylor
87,37205,23,nashville,Thom.Druffel@nashville.gov,Thom Druffel
89,37220,25,nashville,Jeff.Preptit@nashville.gov,Jeff Preptit
90,37204,26,nashville,Courtney.Johnston@nashville.gov,Courtney Johnston
95,37027,31,nashville,John.Rutherford@nashville.gov,John Rutherford
96,37086,32,nashville,Joy.Styles@nashville.gov,Joy Styles
97,37013,33,nashville,antoinette.lee@nashville.gov,Antoinette Lee
98,37215,34,nashville,Sandy.Ewing@nashville.gov,Sandy Ewing
